date,cases_total,cases_new,cases_new_7davg,cases_new_per100k_7davg,cases_doublingtime,deaths_total,deaths_new,deaths_new_7davg,deaths_new_per100k_7davg,deaths_doublingtime,cfr,cases_epi_total,cases_epi_total_percent,cases_epi_new,cases_epi_new_percent_7davg,cases_active,cases_active_change,cases_active_duration,recovered_total,recovered_new,inactive_recovered_total,inactive_recovered_new,quarantined,days_ago
2020-03-13,1,1,,,,,,,,,,,,,,,,,,,,,,584
2020-03-14,1,0,,,,,,,,,,,,,,,,,,,,,,583
2020-03-15,1,0,,,,,,,,,,,,,,,,,,,,,,582
2020-03-16,1,0,,,,,,,,,,,,,,,,,,,,,,581
2020-03-17,1,0,,,,,,,,,,,,,,,,,,,,,,580
2020-03-18,3,2,,,,,,,,,,,,,,,,,,,,,,579
2020-03-19,5,2,0.7,0.2,,,,,,,,,,,,,,,,,,,,578
2020-03-20,8,3,1.0,0.3,2.3,,,,,,,,,,,,,,,,,,,577
2020-03-21,8,0,1.0,0.3,2.3,,,,,,,,,,,,,,,,,,,576
2020-03-22,8,0,1.0,0.3,2.3,,,,,,,,,,,,,,,,,,,575
2020-03-23,8,0,1.0,0.3,2.3,,,,,,,,,,,,,,,,,,,574
2020-03-24,15,7,2.0,0.5,1.8,,,,,,,,,,,,,,,,,,,573
2020-03-25,26,11,3.3,0.9,2.2,1,1,,,,,,,,,,,,,,,,,572
2020-03-26,30,4,3.6,1.0,2.7,1,0,,,,11.11%,,,,,21,,3,8,,,,132,571
2020-03-27,32,2,3.4,0.9,3.5,1,0,,,,6.25%,,,,,16,-5,3,15,7,,,177,570
2020-03-28,34,2,3.7,1.0,3.4,1,0,,,,,,,,,,,,,,,,,569
2020-03-29,37,3,4.1,1.1,3.2,1,0,,,,,,,,,,,,,,,,,568
2020-03-30,39,2,4.4,1.2,3.1,2,1,,,,8.33%,,,,,15,,6,22,7,,,209,567
2020-03-31,50,11,5.0,1.4,4.0,3,1,0.43,0.12,,10.34%,,,,,21,6,6,26,4,,,223,566
2020-04-01,51,1,3.6,1.0,7.2,3,0,0.29,0.08,4.4,9.38%,,,,,19,-2,5,29,3,,,231,565
2020-04-02,63,12,4.7,1.3,6.5,5,2,0.57,0.16,3.0,,,,,,,,,,,,,,564
2020-04-03,68,5,5.1,1.4,6.4,8,3,1.00,0.27,2.3,18.18%,,,,,24,,4,36,7,,,254,563
2020-04-04,71,3,5.3,1.4,6.6,8,0,1.00,0.27,2.3,,,,,,,,,,,,,,562
2020-04-05,79,8,6.0,1.6,6.4,9,1,1.14,0.31,2.2,,,,,,,,,,,,,,561
2020-04-06,85,6,6.6,1.8,6.2,9,0,1.00,0.27,3.2,19.15%,,,,,38,,7,38,2,,,297,560
2020-04-07,94,9,6.3,1.7,7.7,9,0,0.86,0.23,4.4,15.52%,29,30.85%,29,,36,-2,6,49,11,,,293,559
2020-04-08,97,3,6.6,1.8,7.5,9,0,0.86,0.23,4.4,15.00%,31,31.96%,2,,37,1,7,51,2,,,300,558
2020-04-09,98,1,5.0,1.4,11.0,10,1,0.71,0.19,7.0,14.29%,31,31.63%,0,,28,-9,6,60,9,,,302,557
2020-04-10,101,3,4.7,1.3,12.3,10,0,0.29,0.08,21.7,,,,,,,,,,,,,,556
2020-04-11,102,1,4.4,1.2,13.4,10,0,0.29,0.08,21.7,,,,,,,,,,,,,,555
2020-04-12,105,3,3.7,1.0,17.1,10,0,0.14,0.04,46.1,,,,,,,,,,,,,,554
2020-04-13,107,2,3.1,0.9,21.1,11,1,0.29,0.08,24.2,14.67%,32,29.91%,1,,32,,9,64,4,,,302,553
2020-04-14,109,2,2.1,0.6,32.8,12,1,0.43,0.12,16.9,14.29%,32,29.36%,0,20.00%,25,-7,9,72,8,,,315,552
2020-04-15,110,1,1.9,0.5,38.6,12,0,0.43,0.12,16.9,14.29%,32,29.09%,0,7.69%,26,1,10,72,0,,,315,551
2020-04-16,112,2,2.0,0.5,36.3,12,0,0.29,0.08,26.6,13.64%,32,28.57%,0,7.14%,24,-2,10,76,4,,,316,550
2020-04-17,115,3,2.0,0.5,37.4,12,0,0.29,0.08,26.6,13.48%,32,27.83%,0,7.14%,26,2,11,77,1,,,320,549
2020-04-18,116,1,2.0,0.5,37.7,13,1,0.43,0.12,18.5,,,,,,,,,,,,,,548
2020-04-19,118,2,1.9,0.5,41.6,13,0,0.43,0.12,18.5,,,,,,,,,,,,,,547
2020-04-20,121,3,2.0,0.5,39.5,13,0,0.29,0.08,29.0,12.75%,40,33.06%,8,57.14%,19,,9,89,12,,,333,546
2020-04-21,124,3,2.1,0.6,37.6,13,0,0.14,0.04,60.6,11.82%,42,33.87%,2,66.67%,14,-5,6,97,8,,,335,545
2020-04-22,128,4,2.6,0.7,32.0,13,0,0.14,0.04,60.6,11.61%,46,35.94%,4,77.78%,16,2,6,99,2,,,335,544
2020-04-23,134,6,3.1,0.9,27.1,13,0,0.14,0.04,60.6,11.30%,50,37.31%,4,81.82%,19,3,6,102,3,,,335,543
2020-04-24,141,7,3.7,1.0,23.8,13,0,0.14,0.04,60.6,11.11%,56,39.72%,6,92.31%,24,5,6,104,2,,,345,542
2020-04-25,141,0,3.6,1.0,24.9,13,0,0.00,0.00,,,,,,,,,,,,,,,541
2020-04-26,142,1,3.4,0.9,26.2,13,0,0.00,0.00,,,,,,,,,,,,,,,540
2020-04-27,149,7,4.0,1.1,23.3,13,0,0.00,0.00,,10.16%,60,40.27%,4,71.43%,21,,5,115,11,,,354,539
2020-04-28,152,3,4.0,1.1,23.8,13,0,0.00,0.00,,9.85%,62,40.79%,2,71.43%,20,-1,6,119,4,,,358,538
2020-04-29,154,2,3.7,1.0,26.2,13,0,0.00,0.00,,9.70%,64,41.56%,2,69.23%,20,0,6,121,2,,,358,537
2020-04-30,158,4,3.4,0.9,29.4,13,0,0.00,0.00,,9.49%,64,40.51%,0,58.33%,21,1,7,124,3,,,358,536
2020-05-01,163,5,3.1,0.9,33.5,13,0,0.00,0.00,,9.35%,66,40.49%,2,45.45%,24,3,8,126,2,,,377,535
2020-05-02,175,12,4.9,1.3,22.5,13,0,0.00,0.00,,,,,,,,,,,,,,,534
2020-05-03,181,6,5.6,1.5,20.0,13,0,0.00,0.00,,,,,,,,,,,,,,,533
2020-05-04,182,1,4.7,1.3,24.3,13,0,0.00,0.00,,8.61%,80,43.96%,14,60.61%,31,,7,138,12,,,384,532
2020-05-05,192,10,5.7,1.6,20.8,13,0,0.00,0.00,,8.33%,81,42.19%,1,47.50%,36,5,6,143,5,,,384,531
